,Dataset,alpha,acc,qwk,precision_0,recall_0,fbeta_score_0,precision_1,recall_1,fbeta_score_1,precision_2,recall_2,fbeta_score_2,precision_3,recall_3,fbeta_score_3,precision_4,recall_4,fbeta_score_4
RUS-0.6,RUS,0.6,0.7708240202652362,0.879750962293011,0.0,0.0,0.0,0.5415699024616814,0.9526143790849673,0.6905537459283387,0.0,0.0,0.0,0.0,0.0,0.0,0.8791136463361123,0.9903608502224419,0.9314272431427244
TL-1,TL,1,0.7934734018775146,0.9050417470730919,0.724907063197026,0.38613861386138615,0.503875968992248,0.6090395480225989,0.880718954248366,0.7201068804275216,0.373134328358209,0.11286681715575621,0.1733102253032929,0.2987012987012987,0.09330628803245436,0.14219474497681608,0.9023722627737226,0.9777558082056352,0.9385527876631079
TL_SMT-0.6,TL_SMT,0.6,0.773655192966771,0.9106592783344624,0.4704016913319239,0.8811881188118812,0.6133700895933839,0.6789473684210526,0.5269607843137255,0.5933762649494021,0.33986928104575165,0.23476297968397292,0.2777036048064086,0.3181818181818182,0.056795131845841784,0.09638554216867469,0.8979868807961999,0.9812160158180919,0.9377583559702373
TL_SMT-0.7,TL_SMT,0.7,0.771420056623454,0.9119764904721098,0.4667381974248927,0.8613861386138614,0.6054279749478079,0.6753112033195021,0.5318627450980392,0.5950639853747715,0.3366013071895425,0.2325056433408578,0.2750333778371162,0.28169014084507044,0.08113590263691683,0.12598425196850394,0.9040531257155943,0.9757785467128027,0.9385474860335196
CNN-0.5,CNN,0.5,0.7653106839517211,0.9068439172115511,0.70625,0.44752475247524753,0.5478787878787879,0.6170830912260313,0.8676470588235294,0.7212224108658745,0.3351063829787234,0.14221218961625282,0.19968304278922344,0.23051409618573798,0.281947261663286,0.2536496350364963,0.939932972415571,0.9011369253583786,0.9201261829652997
SMT-0.1,SMT,0.1,0.6542989122336462,0.4551123795685792,0.5867346938775511,0.6831683168316832,0.6312900274473926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.660787195819043,1.0,0.7957517946700757
TL-0.2,TL,0.2,0.7662047384890478,0.8631669403755979,0.0,0.0,0.0,0.5866666666666667,0.8986928104575164,0.7099064214262665,0.0,0.0,0.0,0.0,0.0,0.0,0.835814722911497,0.9990113692535838,0.9101553704120692
CNN-0.1,CNN,0.1,0.7088362390105797,0.8892607870676482,0.7333333333333333,0.3485148514851485,0.47248322147651006,0.5940379403794038,0.8954248366013072,0.7142391658520691,0.3129251700680272,0.1038374717832957,0.1559322033898305,0.16843118383060635,0.35496957403651114,0.22845953002610964,0.9488372093023256,0.8067226890756303,0.8720277851990382
RUS-0.8,RUS,0.8,0.7727611384294442,0.8874376704072466,0.0,0.0,0.0,0.5472143531633616,0.9468954248366013,0.6935966487133453,0.36363636363636365,0.045146726862302484,0.08032128514056225,0.32786885245901637,0.04056795131845842,0.07220216606498195,0.890551708733527,0.9854176964903608,0.9355860612460402
RUS-0.2,RUS,0.2,0.7690359111905827,0.8724218291420023,0.0,0.0,0.0,0.570632911392405,0.920751633986928,0.7045951859956237,0.0,0.0,0.0,0.0,0.0,0.0,0.8517736486486487,0.9970341077607514,0.9186973354588933
RUS_SMT-0,RUS_SMT,0,0.62136790344211,0.15700686716653034,0.7425149700598802,0.24554455445544554,0.369047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182762836185819,1.0,0.7641170915958452
